country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Luxembourg,4550,4630,5090,7020,8690,9110,9540,9500,9210,10.3k,10.6k,11.9k,11.7k,11.8k,13.1k,10.6k,11.5k,10.4k,10.8k,11k,10.8k,11.1k,11k,11.1k,11.7k,12.1k,12.2k,12.3k,13.4k,13.5k,13.7k,14.1k,12.9k,12.6k,13.7k,14.9k,14.6k,15.1k,15.5k,15k,15.7k,15.6k,16k,16.3k,16.3k,15.6k,16.5k,16.4k,15.9k,14.4k,16.8k,15.6k,14.7k,14.2k,13.9k,,,,,
Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3400,3290,2640,2050,1970,2000,1990,2060,2130,2070,2080,2210,2310,2490,2610,2780,2970,3170,3210,3030,3230,3260,3590,3470,3510,,,,,
Morocco,,,,,,,,,,,,125,139,152,158,163,179,192,206,223,237,249,262,280,283,295,307,311,341,336,359,372,402,402,421,431,434,451,480,453,490,525,536,582,612,634,688,717,734,746,776,826,877,881,904,,,,,
Moldova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4030,4280,3690,3220,2770,2610,2460,2320,2310,2170,2040,2250,2330,2620,2440,2550,2700,2490,2520,2170,2140,1830,1890,1680,1730,,,,,
Mexico,,,,,,,,,,,,508,551,582,627,656,695,737,795,840,887,927,981,1000,1040,1080,1100,1140,1180,1230,1190,1300,1320,1310,1400,1420,1440,1530,1640,1690,1800,1830,1840,2000,1930,2000,2020,2050,2050,2000,2020,2220,2250,2140,2160,,,,,
North Macedonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2670,2710,2970,2610,2710,2800,2920,3000,3070,2860,2900,2800,2760,3110,3140,3370,3450,3620,3680,3420,3570,3880,3680,3550,3500,,,,,
Malta,,,,,,,,,,,,1010,1070,1210,1010,1110,1250,1360,1480,1600,1660,1750,1830,1860,1920,2110,2250,2490,2690,2850,2820,3600,3730,3720,3740,3920,3790,3830,3920,4200,4310,4290,4500,4870,4800,4910,4900,4870,4840,4430,4770,4870,5000,4920,4920,,,,,
Myanmar,,,,,,,,,,,,19.8,21.2,22.8,22.5,25.3,27.4,29.7,31.1,32.9,34,30.4,32.2,32.7,35.3,42,42,42.3,37.5,40.2,44.1,40.9,44.2,50.7,54,57.2,57.6,64.5,64.9,68.1,75.3,68.4,73,79.9,80.5,74.9,88.3,89.5,94.2,99.4,124,154,156,185,215,,,,,
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6310,6450,6560,6290,5010,5420,5740,5420,4570,4610,,,,,
Mongolia,,,,,,,,,,,,,,,,,,,,,,,,,,1470,1560,1560,1600,1600,1490,1340,1220,1100,1080,1090,1090,1060,1070,1040,1050,1070,1100,1140,1200,1250,1300,1330,1420,1380,1490,1500,1590,1890,2010,,,,,
Mozambique,,,,,,,,,,,,51.6,50.7,57.8,68.4,56.1,61.9,57.5,60.9,37,37.1,36.7,48.5,37.9,29.5,31.5,37.1,42.3,34.6,39.7,42.2,55.7,54.1,50.7,44.3,46.2,45.9,54.5,49.1,69.2,126,277,266,374,449,451,459,460,443,444,453,454,460,451,479,,,,,
